user_story;comp_ids;rico_id
"As a fitness enthusiast, I want to receive notifications about my daily calorie statistics so that I can stay informed and motivated throughout the day";"15,16,17";203
"As a regular user of the App, I want to get update reminders when a new version is available on google play so that I can take advantage of the latest features and improvements";"12,13,14";203
"As a data-driven dieter, I want to mark my days as 'complete' so that my information can be accurately included in weekly and monthly analyses.";"6,7,8";203
"As a member of Calorie Camp, I want the option to choose my default home screen so that I can personalize my app experience to focus on the features I use most.";"10,11";203
"As a social media user, I want to connect the app with my facebook account so that i can share my progress and achievements with friends";"0,1,2";203
"As a User i want to see how much of the tutorials are left to estimate the progress already made";"10,3,0";303
"As a programming student, I want to see an overview of the programming course so that I can plan my learning path.";"11,12";303
"As a user I want to skip tutorials to save time when I already know speciffic topics";"6";303
"As a programming student, I want to skip easy exercise so that I can spent more time on complex exercices.";"6";303
"As a User I want to be able to play learning games to learn specific topics in a less demaning and playfull way";"14";303
"As a programming student, I want to use the learned conecepts in a playground so that I can test myself.";"14";303
"As a programming student, I want to have distinct learning modules so that I can select the right learning module for me.";"9,5,2";303
"As a programming student, I want to see my learning progress so that I stay motivated and orientated threw the entire course.";"10,7,0,3";303
"As a User I want to change the font size to make the text better reable";"7,6";570
"As a student learning french, I want to be able to search for words both in english and french, so that I can learn new words more easily.";"15,16,14";570
"As a User I want to change the UI Language to switch to a language I prefer";"19,18";570
"As a student learning french, I want to be able to see the transcription of the translated words, so that i know how to pronounce them.";"11,12,13";570
"As a user I want to change the backgorund color to turn make the screen less stressfull for my eyes";"5,4";570
"As a student learning french, I want to be able to play an audio of the translated words' pronounciation, so that I learn how to speak better.";"20";570
"As a user I want to enable suggestions so my words will get auto completed";"13,12";570
"As a student learning french, I want to be able to see example sentences of how the translated words are used, so that i get a better understanding of the language.";"20";570
"As a student learning french, I want to be given synonyms or alternatives to the translated words, so that I can better know my options.";"20";570
"As a recorder, I want clear visual feedback that the recording is running so I can be sure that my content is being recorded correctly.";"6";759
"As a recorder, I want to be able to pause my recording so that I can take a second to think about what I'm saying and not have to edit it later.";"4";759
"As a recorder, I want visual feedback on the volume of my voice so that I can be sure of the quality of the recording.";"Balnken oben in der Mitte";759
"As a recorder, I want to be able to finish my recording with one click, so I can react quickly.";"5";759
"As a vacation planner, I want to easily switch between options for flights, busses, trains, and hotels, so that I can organize all aspects of my trip within a single app.";"10,9,8,7";1106
"As a user, I want to be able to select the origin and destination of my travel, so that I can see what my travel options are on that route.";"4,3,2";1106
"As a user looking for deals, I want to see special offers and promotions prominently displayed so that I don't miss out on the best prices available.";"0";1106
"As a user, I want to be able to choose the date of my travel, so that I can see the relevant travel options for my plans.";"6";1106
"As a user with specific travel dates, I want to select a departure date, so that I efficiently find and book bus ticket for my desired travel date";"6";1106
"As a user, I want to be able to choose between different types of transport, so that I have better understanding of the options";"10,9,8";1106
"As a user, I want to be able to see what accommodation options there are at my destination, so that I can plan my stay.";"7";1106
"As a user, I want to be able to select direct transport only, so that my travel time is minimal.";"5,13";1106
"As a user looking for good deals, I want to see offers for trips, including their prices, so that I can find the best offers without having to do a lot of searching.";"21, 18, 10, 9";1990
"As the recipient of a discount, I want to be able to enter my discount code before I begin searching for flights, so I can be sure the discount applies to the results that are shown to me during my search.";"11";1990
"As a user looking for new travel destinations, I want to see pictures of places, so I can easily find inspirations for my next trip.";"21, 18, 10";1990
"As a parent planning a family trip, I want to be able to enter the amount of adults and children I will be traveling with before I begin my search, so I can be sure there are enough seats for the entire group on each fligh that is shown to me.";"4, 2, 1, 0, 6, 5";1990
"As a user looking for convenient services, I want to be able to set the dates for both when I want to leave and when I want to return, so that I can book both flights at the same time and don't have to search twice.";"8, 7";1990
"As a tourist exploring Paris, I want to see the average rating for the selected location so that I can decide if it's worth visiting.";"7";2209
"As a traveler, I want easy access to a map view showing where the location is, so that i can easily navigate there from my current location";"10";2209
"As a traveler browsing through multiple locations, I want to bookmark the location so that I can easily return to its information";"8";2209
"As a Traveler unfamiliar with the location, I want to view multiple pictures of the location so that I can get a sense of what it looks like.";"5,3,2,1,0";2209
"As a user interested in the location, I want to access a corresponding website, so that I can access more comprehensive information.";"11";2209
"As an online store customer, I want to see similar results so that I can compare prices of similar products.";"10";2262
"As a person moving into a new home, I want a close up of the product so that I can see finer details.";"0,1";2262
"As an online store customer, I want to add products to my shopping list quickly so that I can buy multiple products at once.";"9";2262
"As an online store customer, I want a contact field so that I can ask sellers questions about the product.";"5";2262
"As an online store customer, I want to set a reminder so that I can be notified before special deals end.";"4";2262
"As a competitive learner, I want a highscore function so that I can compare my performance to that of my friends.";"5";3218
"As a student, I want to access the lesson again so that I can see what mistakes I made.";"9";3218
"As a student, I want to select the next lesson so that I can continue learning.";"7";3218
"As a competitive learner, I want to change my avatar so that I can choose one that looks like me.";"15";3218
"As a student, I want to open an overview so that I can learn lessons I haven't completed yet.";"11";3218
"As a mindful person, I want to download the podcast episodes so I can keep my smartphone in flight mode to avoid distractions, but still listen to the education.";"9,5,0";3558
"As a commuter, I want to see the size of the files before I download them so that I ensure that I use my mobile data volume efficiently.";"10,6,1";3558
"As a user, I want to be able to read a short summary of the episode so that I can listen only to the ones I want to learn more about and not waste time.";"13,11,7,2";3558
"As a new dog owner, I want an overview of the needs of dogs of the same breed so that I can care for my pet optimally.";"0,1,2,3,4";3716
"As a veterinarian, I want to follow different dogs so that I can see if they show signs of illness.";"6,25,26,27,28";3716
"As a dog owner, I want to share my statistics so that friends can give me tips on how they care for their dogs.";"0,1,2,3,33";3716
"As a buyer, I want to be able to move quickly between key functions via a navigation bar, so that I can buy the things I need easily and efficiently.";"14,9,8,7,6,13,12,11,10";3801
"As a buyer I want the navigation bar describtion to make sense so that I don�t need to search for my desired functionality and loose time.";"14,9,8,7,6,13,12,11,10";3801
"As a buyer, I want the navigation bar to have a highlighting colour to show which tab I'm on and all the other tabs to be the same colour so I don't get confused and have to guess where I am.";"14,9,8,7,6,13,12,11,10";3801
"As a buyer, I want a text and barcode search option so that I don't have to search through all the products and save time when shopping.";"18";3801
"As a user, I want the colours used in the GUI to match so that it enhances my overall experience when using the application.";"7,11,14,5,2";3801
